D-14,D-13,D-12,D-11,D-10,D-9,D-8,D-7,D-6,D-5,D-4,D-3,D-2,D-1,Dday,marketAverage,fluctuation,amount,label
-1.97,-1.84,1.45,1.68,1.4,-5.46,-0.34,-0.95,3.06,0.0,-1.78,-1.47,-1.75,-1.07,-5.14,-2.56,1,3,14.434947768281091
-2.22,2.27,2.67,2.6,-4.64,-0.44,-0.44,0.89,-0.44,-0.89,0.0,-2.69,-1.84,0.94,-0.93,-0.67,1,3,-6.103286384976525
-2.67,-1.18,0.0,3.57,0.77,-3.42,-1.57,3.2,0.0,-5.04,1.22,2.42,-1.97,-1.61,5.71,-0.33,1,3,-13.127413127413124
-3.41,-2.75,0.81,0.4,-2.79,11.48,-1.84,3.37,3.99,-3.83,-2.54,-0.74,-2.62,-1.92,-1.57,2.12,1,3,-8.366533864541836
-1.47,-1.75,-1.07,-5.14,5.22,-2.71,5.01,-0.09,0.0,-0.35,-0.09,-0.36,-0.89,4.68,0.09,0.37,1,3,5.922746781115884
1.67,-4.52,-2.87,-4.58,0.46,1.93,0.68,-0.23,-1.05,-2.89,1.17,2.17,-0.23,0.53,-1.13,-0.14,1,3,6.951871657754016
-11.73,-8.9,-16.64,2.97,2.72,-1.25,7.9,-5.42,-8.36,-13.85,10.98,1.59,0.52,2.08,5.93,-0.31,3,3,-1.9199999999999995
1.02,-6.7,1.36,-8.82,-4.25,3.06,-4.31,2.8,-4.83,-4.44,-3.99,20.42,29.89,-11.73,-8.9,1.32,3,3,-16.23108665749656
-6.88,0.99,-2.76,12.71,5.79,-3.79,2.19,2.57,-4.17,-6.53,0.16,-1.86,-4.11,0.99,2.12,0.61,3,3,-0.15974440894568342
-4.31,2.8,-4.83,-4.44,-3.99,20.42,29.89,-11.73,-8.9,-16.64,2.97,2.72,-1.25,7.9,-5.42,0.52,3,3,8.513931888544901
-8.82,-4.25,3.06,-4.31,2.8,-4.83,-4.44,-3.99,20.42,29.89,-11.73,-8.9,-16.64,2.97,2.72,1.07,3,3,5.148205928237126
-4.83,-4.44,-3.99,20.42,29.89,-11.73,-8.9,-16.64,2.97,2.72,-1.25,7.9,-5.42,-8.36,-13.85,0.52,3,3,35.098039215686285
-1.2,-3.63,-0.84,0.0,-2.95,2.17,0.0,0.0,1.28,-0.42,-1.69,0.86,-0.85,-0.86,-1.3,-0.03,2,3,-19.649122807017537
-3.44,0.0,-2.49,0.0,2.55,-2.14,-1.82,-1.48,-7.14,2.83,1.97,0.77,0.77,1.9,-1.12,0.34,2,3,-1.132075471698113
-0.65,-2.73,0.4,-2.93,0.14,3.15,3.85,-2.55,-3.01,-1.35,-1.92,-0.84,-4.23,-5.74,2.34,0.68,2,3,3.658536585365857
-2.97,-3.71,-1.7,3.46,0.0,1.0,3.31,0.85,-0.11,-0.95,1.18,-1.9,2.59,-0.11,0.53,0.67,2,3,-3.6649214659685847
4.37,11.03,-9.06,-2.35,-2.41,-1.74,-0.74,4.02,-3.29,-3.99,-2.93,10.79,-7.16,-0.93,-1.71,1.66,2,3,-0.9508716323296307
-2.47,1.13,-1.39,-6.5,1.21,1.49,-0.59,-3.85,-0.31,1.54,5.17,-3.18,-6.87,0.32,-3.19,0.08,2,3,-18.48184818481848
0.94,-1.31,0.95,0.75,-1.3,-1.69,-1.92,0.98,0.0,-3.87,2.82,-0.78,-0.59,-0.2,0.0,0.28,1,3,23.061630218687878
-0.69,-1.67,1.13,0.56,-0.56,0.14,-0.14,-2.09,1.0,0.85,0.14,-0.28,0.7,9.75,1.9,0.07,1,3,1.4943960149439661
-3.48,-2.1,0.1,-3.17,2.32,1.14,2.65,0.6,1.19,-0.39,1.18,-0.19,-0.78,0.0,0.98,1.99,1,3,-3.100775193798455
0.91,0.2,1.0,3.18,-1.73,0.39,0.2,0.97,0.77,2.87,-0.56,0.19,0.56,-0.19,-1.49,-0.86,1,3,2.2684310018903586
5.99,0.47,-0.7,-2.83,-2.91,1.13,0.0,-1.36,0.13,-0.63,2.64,-0.37,0.0,-1.11,-0.37,-0.46,1,3,-4.8749999999999964
0.18,-0.92,-0.74,-0.56,-1.89,0.0,-0.77,-0.19,-1.17,-0.79,-1.39,-3.92,1.25,2.58,3.62,0.78,1,3,-1.9417475728155331
6.18,-0.06,-3.11,-1.13,-7.52,29.78,8.41,-9.17,-7.67,-1.05,-3.29,1.43,1.08,12.75,-4.75,-1.44,3,3,-37.5249500998004
3.15,-4.58,-2.0,-2.04,-2.5,0.85,0.85,-0.42,2.95,-0.82,-2.48,4.66,9.31,-3.7,30.0,0.38,3,3,44.369216881065235
0.4,-4.55,-3.22,-4.49,-2.27,-3.88,0.97,-6.07,0.17,-3.57,-1.23,3.39,1.21,-4.09,-3.91,-0.22,3,3,2.772643253234741
9.44,-4.79,2.35,0.33,-3.92,-1.36,-2.07,0.0,0.0,2.11,0.69,3.77,-3.96,-4.81,0.72,-0.01,3,3,4.675963904840041
1.09,8.38,-1.75,10.91,-1.37,6.03,5.25,-3.12,-6.44,-0.92,-1.39,-2.11,-1.68,-4.63,-2.81,0.67,3,3,-12.106002810680582
-1.15,1.16,0.33,-4.75,0.17,-2.06,-2.46,1.62,-1.59,-2.88,-0.74,-1.68,0.0,-2.66,-3.31,-0.4,3,3,-6.048387096774189
12.43,7.99,8.65,0.1,6.07,7.5,0.92,-5.27,1.34,7.2,3.36,-4.96,3.24,-15.24,3.8,-0.73,3,3,-10.89108910891089
2.63,-12.88,0.8,-4.61,-1.05,-2.3,-0.17,2.82,3.3,0.0,-1.84,-1.77,-0.45,-0.62,-0.34,-1.28,3,3,87.74928774928775
-8.46,0.95,-0.47,-2.12,-11.69,2.32,-0.53,-2.68,-4.55,-4.76,-3.18,-2.19,-3.68,-9.3,-8.42,-2.56,3,3,-7.225806451612904
0.0,0.0,0.0,0.0,4.08,-2.94,-6.67,-0.43,-3.04,-3.03,-2.89,0.36,-1.19,-1.08,-1.46,-1.57,3,3,-3.817733990147787
-6.36,-1.63,1.93,1.08,-2.68,29.75,16.99,-17.97,-2.88,0.23,-3.64,-0.94,-3.57,-3.21,0.51,-0.02,3,3,-19.73791973791974
-1.4,-0.57,-2.29,1.17,2.61,-1.98,-0.14,-1.59,-0.88,0.0,0.3,1.47,-0.87,0.88,-4.94,-2.18,3,3,-29.663608562691135
0.0,-1.0,-0.51,6.62,-3.82,-1.74,-0.25,1.77,-0.25,-1.25,5.81,5.25,1.13,0.9,1.56,-0.97,1,3,-6.345733041575496
0.29,0.28,0.0,0.28,0.28,0.28,-0.28,4.52,5.41,-2.31,8.14,-4.37,-3.3,0.26,3.66,1.0,1,3,-2.777777777777779
0.72,0.72,0.0,-1.79,1.82,0.36,-1.07,0.0,-0.36,1.08,-1.07,0.0,1.81,-1.06,0.36,-0.4,1,3,-10.71428571428571
2.99,0.38,2.95,-0.32,3.94,2.87,5.47,-0.47,0.47,-1.65,1.92,0.94,0.7,-3.01,-5.49,0.17,1,3,-1.7171717171717171
-2.5,2.24,8.78,-2.02,-2.35,1.51,-2.97,-2.75,-0.31,6.62,-2.66,-2.13,-2.17,-0.63,-1.6,-0.04,1,3,2.5974025974025983
-0.32,2.54,-2.48,-1.27,2.25,2.52,1.53,0.91,-4.49,-2.51,0.32,1.92,0.94,1.87,7.03,1.44,1,3,-1.4285714285714235
-4.2,0.51,3.04,6.5,1.76,-2.45,-3.17,-0.58,6.38,0.55,3.8,-1.22,-1.85,-2.43,-1.1,0.62,1,3,37.24394785847301
-0.89,6.79,2.71,0.73,0.63,0.45,-2.59,0.64,-4.47,4.11,-6.06,7.32,-3.09,0.56,-3.08,-1.35,1,3,0.481695568400764
-3.09,0.56,-3.08,2.22,-2.36,2.8,0.09,12.48,-4.59,-0.79,2.2,1.98,-4.4,-2.65,-3.18,-0.53,1,3,-7.5046904315197
-2.59,0.64,-4.47,4.11,-6.06,7.32,-3.09,0.56,-3.08,2.22,-2.36,2.8,0.09,12.48,-4.59,-0.53,1,3,-14.51048951048951
2.86,-2.88,2.57,-1.73,-1.37,-0.3,-2.59,-3.48,-0.11,4.98,3.43,-4.2,0.51,3.04,6.5,1.42,1,3,38.262476894639555
0.4,2.36,0.38,2.3,-1.87,-4.2,-1.59,0.81,-0.8,-1.62,1.65,-4.05,0.0,1.27,-1.67,-0.94,1,3,-7.6271186440677985
0.75,1.74,5.37,-1.74,-3.77,0.73,1.46,-0.84,0.36,6.86,3.04,8.85,-8.13,-6.78,0.59,3.5,3,3,-0.815850815850816
-4.8,-8.88,3.56,-0.64,-3.97,-4.67,-3.22,-17.34,22.38,-5.14,1.2,0.6,-5.03,7.48,0.72,0.97,3,3,-9.352517985611508
1.7,1.31,-1.65,-1.68,5.61,-1.5,-0.35,2.35,-2.87,0.24,0.94,-2.57,-2.16,0.61,-0.49,-1.93,3,3,-4.90196078431373
-0.34,-7.11,5.06,0.0,-2.7,-0.48,-1.94,-1.73,-2.64,4.14,-0.12,-2.99,1.28,-0.89,-1.66,0.26,3,3,4.415584415584406
-5.6,5.12,0.51,-3.95,-6.91,-2.14,-7.29,3.77,-3.33,-3.45,6.82,-5.02,1.76,0.47,1.41,0.35,3,3,-17.28395061728395
4.59,4.52,-0.25,1.86,1.09,5.42,-4.11,-1.9,-0.85,7.47,0.0,1.03,-3.04,-3.02,0.24,1.42,3,3,-1.5550239234449759
0.09,-0.37,1.03,0.09,3.34,0.0,-0.63,-0.36,2.36,3.63,-2.31,2.1,1.11,-1.44,0.34,0.0,1,3,1.8835616438356073
0.79,-3.13,0.4,3.61,0.0,3.49,-5.99,-1.99,-4.07,-4.66,4.89,-2.97,-3.06,4.5,-1.29,-2.6,1,3,31.00436681222707
-2.02,0.0,-2.24,2.2,0.18,-0.18,-0.09,0.54,0.63,1.69,-2.36,0.27,-3.48,-0.56,-0.65,-0.17,1,3,9.363295880149813
5.57,-1.98,3.03,18.63,-8.26,2.4,-0.88,-5.03,-1.56,1.27,5.63,-7.4,-4.15,-2.0,-3.06,-1.28,1,3,-6.315789473684208
0.81,0.13,2.01,4.61,12.08,-4.04,3.16,-1.7,-3.11,0.36,1.19,-3.52,0.97,0.12,2.52,-0.31,1,3,0.703399765533419
-1.13,-3.82,-3.57,-0.41,-0.83,-2.08,1.28,-2.94,-0.87,-0.87,2.2,-1.72,0.44,-1.31,2.21,0.09,1,3,-6.926406926406925
-0.97,-2.13,-1.17,2.88,-2.8,-0.68,-0.17,-5.47,-4.52,7.58,-2.46,-1.99,-3.31,0.76,2.46,-3.5,1,3,-9.040590405904059
-1.45,1.97,1.81,0.83,3.29,-2.61,1.87,0.8,0.0,-0.45,3.77,-0.55,-2.21,0.9,0.11,0.47,1,3,-5.599104143337064
-5.58,-2.87,1.04,-6.02,0.0,2.56,-2.68,-4.95,-3.86,2.21,2.36,1.15,4.93,-0.54,-1.27,0.88,1,3,-5.524861878453036
-2.14,-0.46,-0.93,-0.94,-1.06,-5.13,5.66,-1.43,2.05,0.24,-0.71,2.26,1.16,-1.15,0.7,-0.28,1,3,36.25866050808315
0.36,-0.61,-2.93,3.52,0.24,-1.45,1.97,1.81,0.83,3.29,-2.61,1.87,0.8,0.0,-0.45,0.82,1,3,-2.168949771689499
